분류-대-공정,분류-대-공정,분류-중-재료,분류-중-재료,분류-소-객체유형,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
,,,,,,,,○,유,유리포함 1000x2100mm,"DR111-외여닫이문(철재, 일반) 유리포함 1000x2100mm",,ALA12020800A,E333,
,,,,,,,,○,유,유리포함 1000x2400mm,"DR111-외여닫이문(철재, 일반) 유리포함 1000x2400mm",,ALA12020900A,E333,
,,,,,,,,○,유,유리포함 1100x1800mm,"DR111-외여닫이문(철재, 일반) 유리포함 1100x1800mm",,ALA12021000A,E333,
,,,,,,,,○,유,유리포함 1100x1900mm,"DR111-외여닫이문(철재, 일반) 유리포함 1100x1900mm",,ALA12021200A,E333,
,,,,,,,,○,유,유리포함 1100x2000mm,"DR111-외여닫이문(철재, 일반) 유리포함 1100x2000mm",,ALA12021500A,E333,
,,,,,,,,○,유,유리포함 1100x2100mm,"DR111-외여닫이문(철재, 일반) 유리포함 1100x2100mm",,ALA12021300A,E333,
,,,,,,,,○,유,유리포함 1100x2400mm,"DR111-외여닫이문(철재, 일반) 유리포함 1100x2400mm",,ALA12021400A,E333,
,,,,,,,,,루,루버포함 900x1800mm,"DR111-외여닫이문(철재, 일반) 루버포함 900x1800mm",,ALA12020000B,E333,
,,,,,,,,,루,루버포함 900x1900mm,"DR111-외여닫이문(철재, 일반) 루버포함 900x1900mm",,ALA12020100B,E333,
,,,,,,,,,루,루버포함 900x2000mm,"DR111-외여닫이문(철재, 일반) 루버포함 900x2000mm",,ALA12020200B,E333,
,,,,,,,,,루,루버포함 900x2100mm,"DR111-외여닫이문(철재, 일반) 루버포함 900x2100mm",,ALA12020300B,E333,
,,,,,,,,,루,루버포함 900x2400mm,"DR111-외여닫이문(철재, 일반) 루버포함 900x2400mm",,ALA12020400B,E333,
,,,,,,,,,루,루버포함 1000x1800mm,"DR111-외여닫이문(철재, 일반) 루버포함 1000x1800mm",,ALA12020500B,E333,
,,,,,,,,,루,루버포함 1000x1900mm,"DR111-외여닫이문(철재, 일반) 루버포함 1000x1900mm",,ALA12020600B,E333,
,,,,,,,,,루,루버포함 1000x2000mm,"DR111-외여닫이문(철재, 일반) 루버포함 1000x2000mm",,ALA12020700B,E333,
,,,,,,,,,루,루버포함 1000x2100mm,"DR111-외여닫이문(철재, 일반) 루버포함 1000x2100mm",,ALA12020800B,E333,
,,,,,,,,,루,루버포함 1000x2400mm,"DR111-외여닫이문(철재, 일반) 루버포함 1000x2400mm",,ALA12020900B,E333,
,,,,,,,,,루,루버포함 1100x1800mm,"DR111-외여닫이문(철재, 일반) 루버포함 1100x1800mm",,ALA12021000B,E333,
,,,,,,,,,루,루버포함 1100x1900mm,"DR111-외여닫이문(철재, 일반) 루버포함 1100x1900mm",,ALA12021200B,E333,
,,,,,,,,,루,루버포함 1100x2000mm,"DR111-외여닫이문(철재, 일반) 루버포함 1100x2000mm",,ALA12021500B,E333,
,,,,,,,,,루,루버포함 1100x2100mm,"DR111-외여닫이문(철재, 일반) 루버포함 1100x2100mm",,ALA12021300B,E333,
,,,,,,,,,루,루버포함 1100x2400mm,"DR111-외여닫이문(철재, 일반) 루버포함 1100x2400mm",,ALA12021400B,E333,
,,,,,,DR111,"DR111-외여닫이문(철재, 일반, 양개)",○,,900x1800mm,"DR111-외여닫이문(철재, 일반, 양개) 900x1800mm",,ALA12010000A,E333,
,,,,,,,,○,,900x1900mm,"DR111-외여닫이문(철재, 일반, 양개) 900x1900mm",,ALA12010100A,E333,
,,,,,,,,○,,900x2000mm,"DR111-외여닫이문(철재, 일반, 양개) 900x2000mm",,ALA12010200A,E333,
,,,,,,,,○,,900x2100mm,"DR111-외여닫이문(철재, 일반, 양개) 900x2100mm",,ALA12010300A,E333,
