PredefinedType,Category,Family,StructuralUsage,StructuralMaterial,Width,Height,Length,Volume,CrossSectionArea,IsExternal,LoadBearing,PartCode
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Girder,KBIMS-콘크리트,400,850,3438.0,0.798000024625937,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,2350.0,0.573997576215844,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Girder,KBIMS-콘크리트,500,850,8700.0,2.83500000107555,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,10000.0,2.65999790171863,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,7800.0,2.44782999533628,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Girder,KBIMS-콘크리트,400,800,8650.0,1.95599997889208,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,8450.0,2.01499998047373,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,8450.0,2.16999997897171,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Girder,KBIMS-콘크리트,400,800,8650.0,2.11899996343446,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Girder,KBIMS-콘크리트,400,800,8650.0,1.95599996624717,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.84800000000147,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Girder,KBIMS-콘크리트,400,800,8650.0,1.95599996624718,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,7600.0,2.24400000000159,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,8450.0,2.01499998047385,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Girder,KBIMS-콘크리트,400,800,8650.0,1.95599997889208,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G1_400 x 850,Other,KBIMS-콘크리트,400,850,10000.0,2.54800244265434,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.82000000000002,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,10100.0,2.6880025263098,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7200.0,1.82000001475231,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,10100.0,2.6880025263098,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,7300.0,2.21000000000002,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,8450.0,2.04100009016663,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,9200.0,2.46389606575514,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,10200.0,2.52200203408769,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,6299.0,1.53399995506622,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.7399998807850101,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Other,KBIMS-콘크리트,400,800,8952.0,2.22332778755276,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.88999999800691,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850,Girder,KBIMS-콘크리트,400,850,8016.0,2.13231977559774,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Girder,KBIMS-콘크리트,500,850,8700.0,2.83500000107554,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B2_400 x 800,Other,KBIMS-콘크리트,400,800,8951.0,2.22325194141107,0.32,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Girder,KBIMS-콘크리트,500,850,9500.0,2.83500000000016,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,10000.0,2.65999790171863,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,7250.0,1.84800000000147,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G2_400 x 850,Girder,KBIMS-콘크리트,400,850,7600.0,1.71600000000123,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850,Girder,KBIMS-콘크리트,500,850,8700.0,2.71350000102945,0.425,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850,Other,KBIMS-콘크리트,400,850,9900.0,2.34089551966104,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G4_400 x 850,Girder,KBIMS-콘크리트,400,850,5900.0,1.47021945729638,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G3_400 x 850,Other,KBIMS-콘크리트,400,850,1350.0,0.30800000163262,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850,Girder,KBIMS-콘크리트,400,850,7800.0,1.87199999286724,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1WG1_400 x 850,Other,KBIMS-콘크리트,400,850,7900.0,2.60892283654161,0.34,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500,Other,KBIMS-콘크리트,400,500,5800.0,0.741999981994748,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RWG1_400 x 500,Other,KBIMS-콘크리트,400,500,2802.0,0.350258525066797,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG7_400 x 500,Other,KBIMS-콘크리트,400,500,12900.0,1.6940000051257,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG8_400 x 500,Other,KBIMS-콘크리트,400,500,3000.0,0.349999996159298,0.2,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500,Other,KBIMS-콘크리트,500,500,10500.0,1.75000000480093,0.25,0,True,E23
,Structural Framing,BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG9_500 x 500,Other,KBIMS-콘크리트,500,500,10300.0,1.72725084690659,0.25,0,True,E23
