ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcSlab                , Floors                , Floor                                       , E25         , AND011+ANJ210503A+AHJ112400000+AHK110C                           , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                 , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"                                 , "Floor: A1-12-06A-알칼리방지용방수, 시멘트모르타르(보호용), 자동수평 모르타르, 우레탄페인트 (40mm)"
IfcIfcFurnishingElement   , 가구                  , FN122-업무용 책상(L형)                      , E81         , APA                                                              , FN122-업무용 책상(L형)                                                                                                              , FN122-업무용 책상(L형) 1400x1200 좌형                                                                                               , 6092853
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*1900                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*1900                                                                        , PF581-대변기 칸막이: PF581-대변기 칸막이(왼쪽) 970*1430*1900
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BT1_T200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B6_300 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B6_300 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B6_300 x 800
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW3                                                                                                 , 7626733
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*2400                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*2400
IfcIfcFurnishingElement   , 가구                  , FN122-업무용 책상(L형)                      , E81         , APA                                                              , FN122-업무용 책상(L형)                                                                                                              , FN122-업무용 책상(L형) 1800x1200 우형                                                                                               , 6092847
IfcIfcDoor                , 문                    , "DR111-외여닫이문(철재,일반)_유리포함(원형)", E333        , ALA                                                              , "DR111-외여닫이문(철재,일반)_유리포함(원형)"                                                                                        , "DR111-외여닫이문(철재, 일반)_유리포함 (원형)_2100x1000"                                                                            , 7452354
IfcIfcFurnishingElement   , 가구                  , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이                                                                                                                 , PF581-대변기 칸막이(오른쪽) 1300x950x2400                                                                                           , 6868567
IfcIfcBuildingElementProxy, 전기 시설물           , SE112-가로등 양팔형                         , E76         , CAB450030000                                                     , SE112-가로등 양팔형                                                                                                                 , SE112-가로등 양팔형                                                                                                                 , 8212708
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , ADANC132110000+AGA113100000+AGA441100000+AMA112C+AGA114400000    , 기본 벽                                                                                                                             , (복합)A1-32-06A+WA111+A1-33-01B_수성+철콘+화장실                                                                                    , 7717586
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B1_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B1_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B1_400 x 400
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G5_500 x 400
IfcIfcCovering            , Ceilings              , Compound Ceiling                            , E36         , AOM201012000+ADR130400000                                        , "Compound Ceiling: A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"                                                    , "Compound Ceiling: A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"                                                    , "Compound Ceiling: A1-46-01B-콘크리트면정리, 유리면 흡음판(그라스크로스) (50mm)"
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300                                                                                     , Basic Wall: WA110-철근콘크리트구조 벽_RaW1_T300
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_CW3                                                                                                 , 7626044
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW1                                                                                                 , 7626851
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_RS2_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS2_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS2_THK150
IfcIfcBeam                , Structural Framing    , BM114-꺾임 보                               , E23         , AD                                                               , BM114-꺾임 보: BM114-꺾임 보_1WG2_400x600                                                                                           , BM114-꺾임 보: BM114-꺾임 보_1WG2_400x600                                                                                           , BM114-꺾임 보: BM114-꺾임 보_1WG2_400x600
IfcIfcFurnishingElement   , 가구                  , FN113-소파(3인용)                           , E81         , APA                                                              , FN113-소파(3인용)                                                                                                                   , FN113-소파(3인용) 2100x950                                                                                                          , 7032233
IfcIfcFurnishingElement   , Furniture             , FN114-소파테이블(각형)                      , E81         , APA                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800                                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800                                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 800x800
IfcIfcColumn              , 구조 기둥             , CL111-철근콘크리트구조 기둥 (각형)1         , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형)1                                                                                                 , CL111-철근콘크리트구조 기둥 (각형)_800x900_B2-1C2                                                                                   , 7669457
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW1                                                                                                 , 7626851
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_W2_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W2_T200                                                                                       , Basic Wall: WA110-철근콘크리트구조 벽_W2_T200
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AFA11                                                            , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                   , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                   , Basic Wall: WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm
IfcIfcDoor                , Doors                 , DR872-샤프트 점검구(스테인리스 스틸)        , E331        , AJG3                                                             , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600                                              , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600                                              , DR872-샤프트 점검구(스테인리스 스틸): DR872-샤프트 점검구(스테인리스 스틸)_SD4_650*600
IfcIfcFurnishingElement   , 가구                  , PF591-대변기용 장애인 손잡이(T자 고정식)    , E713        , APA18                                                            , PF591-대변기용 장애인 손잡이(T자 고정식)                                                                                            , PF591-대변기용 장애인 손잡이(T자 고정식)                                                                                            , 6419429
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G3_400 x 400
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(출입면) 1300*900*1900
IfcIfcDoor                , 문                    , "DR111-외여닫이문(철재, 일반)"              , E333        , ALA110100000                                                     , "DR111-외여닫이문(철재, 일반)"                                                                                                      , "DR111-외여닫이문(철재, 일반) 900x2100mm"                                                                                           , 7447208
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_CW2_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW2_T200                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_CW2_T200
IfcIfcStair               , 계단                  , 현장타설 계단                               , E270        , AD                                                               , 현장타설 계단                                                                                                                       , ST111-철근콘크리트구조 계단 (U형)                                                                                                   , 3060157
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 200mm_S6                                                                                                , 7625577
IfcIfcFurnishingElement   , Furniture             , PF581-대변기 칸막이                         , E714        , AOC771                                                           , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900                                                                      , PF581-대변기 칸막이: PF581-대변기 칸막이(오른쪽) 1300*900*1900
IfcIfcFurnishingElement   , Furniture             , PF591-대변기용 장애인 손잡이(상하가동식)    , E713        , APA18                                                            , PF591-대변기용 장애인 손잡이(상하가동식): PF591-대변기용 장애인 손잡이(상하가동식)                                                  , PF591-대변기용 장애인 손잡이(상하가동식): PF591-대변기용 장애인 손잡이(상하가동식)                                                  , PF591-대변기용 장애인 손잡이(상하가동식): PF591-대변기용 장애인 손잡이(상하가동식)
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AFC100+AJM+WA821                                                 , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"                                                               , "Basic Wall: A2-22-02A-압출스치로품, BRACKET(STEEL), ALC블록 (150mm)"
IfcIfcFlowTerminal        , 위생기구              , PF213-스톨형 소변기                         , E71215E71215, MHA32110010S                                                     , PF213-스톨형 소변기                                                                                                                 , PF213-스톨형 소변기                                                                                                                 , 6429598
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G1_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G1_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G1_400 x 400
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차: SE251-기본주차 여성전용일반형                                                                                       , SE251-기본주차: SE251-기본주차 여성전용일반형                                                                                       , SE251-기본주차: SE251-기본주차 여성전용일반형
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 200mm_S12                                                                                               , 7623032
IfcIfcBeam                , 구조 프레임           , BM114-꺾임 보                               , E23         , AD                                                               , BM114-꺾임 보                                                                                                                       , BM114-꺾임 보_400x600_1WG2                                                                                                          , 7647207
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-7C3_800x800
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B7_800 x 800
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RB2                                                                                            , 7669445
IfcIfcFlowTerminal        , 위생기구              , PF127-서양식 탱크일체형                     , E71210      , MHA11110020S                                                     , PF127-서양식 탱크일체형                                                                                                             , PF127-서양식 탱크일체형                                                                                                             , 6449337
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_B1S6_THK200
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B3_400 x 600
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 500_RG1                                                                                            , 7669439
IfcIfcFurnishingElement   , 가구                  , FN114-소파테이블(각형)                      , E81         , APA                                                              , FN114-소파테이블(각형)                                                                                                              , FN114-소파테이블(각형) 800x800                                                                                                      , 6069058
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10B4                                                                                         , 7669413
IfcIfcSlab                , 바닥                  , 바닥                                        , E11280      , AD                                                               , 바닥                                                                                                                                , 보행로(구내)                                                                                                                        , 8014152
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10B3                                                                                         , 7669417
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AOA53                                                            , 기본 벽                                                                                                                             , "WA921-목재 걸레받이 (H45*24mm, 라왕, 바니쉬)"                                                                                      , 7364970
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AFA111010000+ANC132110000+AGA113100000+AGA441100000              , 기본 벽                                                                                                                             , (복합)WA211+A1-32-06A-시멘트벽돌(일반)+수성                                                                                         , 7725005
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B2_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B2_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B2_400 x 400
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C3_700x700                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C3_700x700                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_8-10C3_700x700
IfcIfcFurnishingElement   , 가구                  , SE251-장애인전용 표시                       , E77         , CLH2603                                                          , SE251-장애인전용 표시                                                                                                               , SE251-장애인전용 표시                                                                                                               , 3121236
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 200mm_S4                                                                                                , 7623096
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_800 x 800_1B7                                                                                            , 7667215
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_RS3_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS3_THK150                                                                                       , Floor: SL110-철근콘크리트구조 바닥_RS3_THK150
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD+AFC100+AJM+AOD112322000+ANC132110000+AGA113100000+AGA441100000, 기본 벽                                                                                                                             , (복합)A2-22-02A+WA111(200_CW1)+A1-32-06A_압출+철콘+수성                                                                             , 7720991
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1B1_400 x 850
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD                                                               , 바닥                                                                                                                                , SL111-철근콘크리트구조 바닥 150mm_S3                                                                                                , 7622680
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW1_T500
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E24         , AFC100+AJM+AOD112322000+ANC132110000+AGA113100000+AGA441100000   , 기본 벽                                                                                                                             , (복합)A2-22-02A+A1-32-06A_압출+수성                                                                                                 , 7718054
IfcIfcColumn              , 구조 기둥             , CL121-철골구조 기둥                         , E22         , AEA                                                              , CL121-철골구조 기둥                                                                                                                 , CL121-철골구조 기둥_H-200x200x8x12_SC11                                                                                             , 7669406
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 400mm_BW1                                                                                                 , 7628719
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_W1                                                                                                  , 7626970
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AMB161A+AD+ANC132110000+AGA113100000+AGA441100000                , 기본 벽                                                                                                                             , (복합)WA313+WA111(200_CW1)+A1-32-06A_화강석잔다듬+철콘+수성                                                                         , 7719966
IfcIfcSlab                , 바닥                  , 바닥                                        , E251        , AD+AMB3032E                                                      , 바닥                                                                                                                                , (복합)SL111(150_S3)+A1-14-06B_철콘+테라조                                                                                           , 7726310
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G7_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G7_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10G7_400 x 400
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T400                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T400
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_500 x 400_2-10G5                                                                                         , 7669425
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 400mm_BW1                                                                                                 , 7628719
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AFA111010000                                                     , 기본 벽                                                                                                                             , WA211-시멘트벽돌(일반) 벽 (0.5B) 90mm                                                                                               , 6839214
IfcIfcRamp                , 바닥                  , 바닥                                        , E275        , AD                                                               , 바닥                                                                                                                                , RP111-철근콘크리트구조 램프 (직선형) 300mm                                                                                          , 7468709
IfcIfcCovering            , 천장                  , 복합 천장                                   , E36         , AJI100100000+AOMB                                                , 복합 천장                                                                                                                           , "A1-45-06A-경량철골천장틀(M-Bar), 열경화성수지(300x300x1.2mm) (2mm) TYPE-D"                                                         , 6897901
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10G6                                                                                         , 7669419
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_2-10B5_400 x 400
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 850_-1WG1                                                                                          , 7669395
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 500mm_BW4                                                                                                 , 7626681
IfcIfcBeam                , 구조 프레임           , BM121-철골구조 보                           , E23         , AEA                                                              , BM121-철골구조 보                                                                                                                   , BM121-철골구조 H형강(H-100x100) 보_H-100x100x8x6_SG11                                                                               , 7669429
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , ADANC132110000+AGA113100000+AGA441100000+AMA112C+AGA114400000    , 기본 벽                                                                                                                             , (복합)A1-32-06A+WA111+A1-33-01B_수성+철콘+화장실                                                                                    , 7717586
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850                                                              , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_B1-1G5_500 x 850
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AFA111010000+ANC132110000+AGA113100000+AGA441100000              , 기본 벽                                                                                                                             , (복합)WA211+A1-32-06A-시멘트벽돌(일반)+수성                                                                                         , 7725005
IfcIfcBuildingElementProxy, 바닥                  , 바닥                                        , E11280      , AD                                                               , 바닥                                                                                                                                , 보행로(구내)                                                                                                                        , 8014152
IfcIfcSlab                , Floors                , Floor                                       , E251        , AD                                                               , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200                                                                                      , Floor: SL110-철근콘크리트구조 바닥_1S12_THK200
