ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcDoor                , 문                    , DR872-샤프트 점검구(스테인리스 스틸)        , E331        , AJG3                                                             , DR872-샤프트 점검구(스테인리스 스틸)                                                                                                , DR872-샤프트 점검구(스테인리스 스틸)_650x600                                                                                        , 3614979
IfcIfcFlowTerminal        , Plumbing Fixtures     , PF127-서양식 탱크일체형                     , E71210      , MHA11110020S                                                     , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형                                                                                    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형                                                                                    , PF127-서양식 탱크일체형: PF127-서양식 탱크일체형
IfcIfcCurtainWall         , 커튼월 패널           , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 100mm                                                                                                     , 7676586
IfcIfcSlab                , 바닥                  , 바닥                                        , E25         , AOA111                                                           , 바닥                                                                                                                                , SL441-목재블록 바닥 THK38                                                                                                           , 7432096
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800                                                , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_2-7C2_800x800
IfcIfcMember              , 커튼월 멀리언         , 직사각형 멀리언                             , E336        , ALC1                                                             , 직사각형 멀리언                                                                                                                     , CW200-직사각형 멀리언 50x200mm                                                                                                      , 6832447
IfcIfcBuildingElementProxy, Generic Models        , SE251-기본주차                              , E77         , CLH2601                                                          , SE251-기본주차: SE251-기본주차 확장형                                                                                               , SE251-기본주차: SE251-기본주차 확장형                                                                                               , SE251-기본주차: SE251-기본주차 확장형
IfcIfcFurnishingElement   , Furniture             , FN114-소파테이블(각형)                      , E81         , APA                                                              , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600                                                                             , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600                                                                             , FN114-소파테이블(각형): FN114-소파테이블(각형) 1200x600
IfcIfcSlab                , Floors                , Floor                                       , E25         , AMB322D+ADF102100000+AJM4B+AHJ111201000+AHD11+AGA441100000       , "Floor: A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)", "Floor: A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)", "Floor: A1-15-09B-쇠흙손마감, 침투성방수(2차), 시멘트모르타르(보호용), 와이어매쉬(#8 150x150), 무근콘크리트, 대리석(물갈기) (200mm)"
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C11_500x500                                             , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C11_500x500                                             , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_B2-B1C11_500x500
